date,state,city,card_provider,response_code,amount
1463220188,California,Sunnyvale,AMEX,Approved,1869.836934
1463928429,Ohio,Cincinnati,MASTERCARD,Approved,2446.563025
1467276284,Washington,Seattle,AMEX,Do not honor,2233.40531
1464653175,Washington,Redmond,AMEX,Insufficient funds,6116.870888
1456295966,California,Paradise,VISA,Approved,1408.16207
1467077268,Ohio,Cincinnati,VISA,Insufficient funds,764.6996166
1463908403,California,Mountain View,VISA,Approved,678.2200336
1459840236,California,Mountain View,VISA,Approved,5176.117765
1454282844,California,Mountain View,MASTERCARD,Approved,161.8207596
1455799118,California,Mountain View,AMEX,Approved,384.8147014
1456423958,Florida,Boca Raton,MASTERCARD,Approved,2972.558687
1462132740,New Mexico,Glorieta,VISA,Do not honor,4949.455634
1464392463,Alaska,Fairbanks,MASTERCARD,Insufficient funds,3465.999581
1456632109,Washington,Redmond,VISA,Approved,254.8719978
1466362323,Washington,Redmond,VISA,Approved,1686.200908
1456447143,Washington,Redmond,VISA,Insufficient funds,773.7163348
1459916262,Illinois,Chicago,AMEX,Approved,1534.071357
1458161976,California,Mountain View,AMEX,Approved,100.0604508
1454795898,California,Sunnyvale,AMEX,Approved,4035.631242
1467192600,California,Menlo Park,VISA,Approved,852.9602837
1460174578,California,Mountain View,VISA,Approved,58.69741103
1453109717,New York,Rego Park,MASTERCARD,Approved,4202.077077
1455855706,California,Mountain View,VISA,Approved,17.99896148
1458960456,California,Menlo Park,MASTERCARD,Approved,1338.62127
1453727536,New York,Rochester,VISA,Approved,485.4480234
1462378982,Ohio,Cincinnati,MASTERCARD,Do not honor,3508.157055
1452189912,Washington,Redmond,VISA,Approved,793.6259698
1462856253,Washington,Redmond,VISA,Approved,623.7991177
1453926381,California,Sunnyvale,AMEX,Approved,150.991497
1456237054,Texas,San Antonio,AMEX,Approved,664.8032129
1462131704,Tennessee,Hendersonville,VISA,Approved,82.42970781
1458930810,California,Mountain View,MASTERCARD,Approved,2832.189185
1462666415,California,Mountain View,VISA,Approved,1734.132392
1455519663,California,Pasadena,DISCOVER,Insufficient funds,1357.419827
1465948975,California,Mountain View,VISA,Approved,246.7054212
1459926710,California,Mountain View,MASTERCARD,Do not honor,2964.551813
1465654058,California,Mountain View,MASTERCARD,Approved,1020.16897
1457712561,California,Mountain View,MASTERCARD,Approved,43.61652209
1465728119,Virginia,Ashburn,VISA,Approved,297.0163725
1456369556,Virginia,Ashburn,VISA,Approved,1005.633929
1454448879,Virginia,Ashburn,MASTERCARD,Do not honor,556.0572678
1462868490,Florida,Boca Raton,VISA,Approved,1508.006627
1455037572,Nevada,Las Vegas,AMEX,Approved,291.1240201
1456426330,Ohio,Cincinnati,MASTERCARD,Approved,1346.802852
1454805266,California,Mountain View,VISA,Approved,5449.801576
1462607604,California,San Jose,MASTERCARD,Approved,3059.623446
1462850428,California,Mountain View,MASTERCARD,Approved,154.1681032
1461080558,California,Mountain View,MASTERCARD,Approved,6635.692618
1460209549,New Jersey,Cresskill,AMEX,Approved,636.2287837
1461515223,Washington,Redmond,MASTERCARD,Approved,251.8984009
1464442202,California,Menlo Park,MASTERCARD,Approved,481.2104385
1460281684,Louisiana,Covington,VISA,Approved,4673.890584
1464479610,Ohio,Cincinnati,AMEX,Approved,1647.018802
1463233529,California,Menlo Park,MASTERCARD,Approved,13.50957041
1456057175,Washington,Seattle,AMEX,Approved,1532.380634
1457167142,Washington,Redmond,VISA,Approved,420.5626347
1453317044,Ohio,Cincinnati,AMEX,Approved,434.7046578
1454404643,Virginia,Ashburn,MASTERCARD,Approved,2617.370823
1464954285,Virginia,Ashburn,AMEX,Approved,2834.282379
1454612416,Washington,Redmond,VISA,Approved,1090.695255
1453047016,Washington,Redmond,VISA,Approved,3426.692725
1453348745,Washington,Redmond,AMEX,Do not honor,3510.035295
1455341103,Virginia,Ashburn,VISA,Approved,3731.988737
1456178378,Rhode Island,East Providence,MASTERCARD,Approved,1504.07623
1458390333,California,Menlo Park,MASTERCARD,Approved,446.5804759
1452261326,Virginia,Ashburn,VISA,Do not honor,397.3869979
1465127774,Texas,Frisco,VISA,Approved,4931.30185
1458339017,Illinois,Chicago,MASTERCARD,Insufficient funds,3151.346839
1460358890,Texas,Irving,VISA,Approved,785.9373164
1456455651,California,Menlo Park,MASTERCARD,Insufficient funds,3912.523916
1459668503,Ohio,Cincinnati,MASTERCARD,Approved,2782.292159
1457805427,Maryland,Laurel,VISA,Do not honor,23.80136975
1455666062,Washington,Seattle,VISA,Insufficient funds,332.1003096
1460123601,California,Mountain View,MASTERCARD,Issuer unavailable,3639.31146
1458125280,Tennessee,Clarksville,VISA,Approved,1008.113106
1463215783,Ohio,Cincinnati,VISA,Approved,1372.305843
1462133933,California,Palo Alto,MASTERCARD,Approved,470.3797044
